undiacritized	diacritized
Ẹnikan fẹjọ sun wa nipa ohun mimu kan to ra lọja laipẹ yii, a si lọ sọja yẹn lọdọ ẹni to n ta a, awọn adari ọja naa gbọ si i, wọn si gba gbogbo ọja yẹn lọwọ awọn to n ta a lọja, ṣugbọn wọn fun baba to ra ọja yẹn ni owo gba ma binu.	Ẹnìkan fẹjọ́ sùn wá nípa ohun mímu kan tó rà lọ́jà láìpẹ́ yìí, a sì lọ sọ́jà yẹn lọ́dọ̀ ẹni tó ń tà á, àwọn adarí ọjà náà gbọ́ sí i, wọ́n sì gba gbogbo ọjà yẹn lọ́wọ́ àwọn tó ń tà á lọ́jà, ṣùgbọ́n wọ́n fún bàbá tó ra ọjà yẹn ní owó gbà má bínú.
A lawọn oṣiṣẹ to maa n lọ si awọn ọja igbalode naa, lati wadii nnkan ti wọn n ta.	A láwọn òṣìṣẹ́ tó máa ń lọ sí àwọn ọjà ìgbàlódé náà, láti wádìí nǹkan tí wọn ń tà.
O to awọn meloo tẹẹ ti fọwọ ofin mu?	Ó tó àwọn mélòó tẹ́ẹ ti fọwọ́ òfin mú?
Awọn ẹjọ kan wa ni kootu, taa n ba ṣẹjọ lọwọ, awọn to ti san owo itanran naa wa.	Àwọn ẹjọ́ kan wà ní kóòtù, taa ń bá ṣẹjọ́ lọ́wọ́, àwọn tó ti san owó ìtanràn náà wà.
Ko si ọsẹ kan taa ki n mu awọn eeyan to n ta feeki tabi ọja to ti pẹ lori igba, bo tiẹ jẹ pe o ti n dinku, a de ọja kan, ṣọọbu kan nibẹ, idaji ọja rẹ lo ti bajẹ lori igba.	Kò sí ọ̀sẹ̀ kan taa kí ń mú àwọn èèyàn tó ń ta féèkì tàbí ọjà tó ti pẹ́ lórí igbá, bó tiẹ̀ jẹ́ pé ó ti ń dínkù, a dé ọjà kan, ṣọ́ọ̀bù kan níbẹ̀, ìdajì ọjà rẹ̀ ló ti bàjẹ́ lórí igbá.
Bawo lẹ ṣe n ṣe e ti iṣẹ yin pẹlu awọn ileeṣẹ ijọba yooku ko fi tako ara wọn?	Báwo lẹ ṣe ń ṣe é tí iṣẹ́ yín pẹ̀lú àwọn iléeṣẹ́ ìjọba yòókù kò fi tako ara wọn?
Ileeṣẹ ijọba ni gbogbo wa, tawọn eeyan ba ti waa fẹjọ sun, a kan maa gbe ọrọ yẹn lọ si ọdọ ẹni to kan ni, a kii tako ara wa, oṣiṣẹ ijọba naa ni gbogbo wa, ṣugbọn ofin lo gbe ileeṣẹ yii kalẹ.	Iléeṣẹ́ ìjọba ni gbogbo wa, táwọn èèyàn bá ti wáá fẹjọ́ sùn, a kàn máa gbé ọ̀rọ̀ yẹn lọ sí ọ̀dọ̀ ẹni tó kàn ni, a kìí tako ara wa, òṣìṣẹ́ ìjọba náà ni gbogbo wa, ṣùgbọ́n òfin ló gbé iléeṣẹ́ yìí kalẹ̀.
Bi awọn eeyan ba mu ẹsun wa sọdọ wa, a maa ṣewadii rẹ daadaa, awọn lọọya wa nibi, awọn onimọ sayẹnsi wa nibẹ, ileeṣẹ SON wa pẹlu wa, bẹẹ naa ni NAFDAC ati FIIRO.	Bí àwọn èèyàn bá mú ẹ̀sùn wá sọ́dọ̀ wa, a máa ṣèwádìí rẹ̀ dáadáa, àwọn lọ́ọ́yà wà níbí, àwọn onímọ̀ sáyẹ́ǹsì wà níbẹ̀, iléeṣẹ́ SON wà pẹ̀lú wa, bẹ́ẹ̀ náà ni NAFDAC àti FIIRO.
Awọn to ra irinṣẹ ti ko ba dara lọja, a ni awọn oṣiṣẹ to maa ṣewadii boya loootọ ni ọja yẹn ko daa.	Àwọn tó ra irinṣẹ́ tí kò bá dára lọ́jà, a ní àwọn òṣìṣẹ́ tó máa ṣéwàdìí bóyá lóòótọ́ ni ọjà yẹn kò dáa.
Bẹẹ naa la ni ileẹjọ mẹfa bayii, ẹyọ kan la fi bẹrẹ tẹlẹ.	Bẹ́ẹ̀ náà la ní iléẹjọ́ mẹ́fà báyìí, ẹyọ kan la fi bẹ̀rẹ̀ tẹ́lẹ̀.
Awọn ti ijọba fẹtọ wọn du nkọ, ṣe ẹ maa n ja fawọn yẹn naa?	Àwọn tí ìjọba fẹ̀tọ́ wọn dù ńkọ́, ṣé ẹ máa ń jà fáwọn yẹn náà?
Bẹẹ ni, ijọba ta ilẹ fẹnikan, wọn tun gba ilẹ yẹn lọwọ ẹ, a si da si i, wọn fẹẹ da owo rẹ pada, ṣugbọn a ti sọ fun wọn pe bi aye mii n ba ti yọ ki wọn fun ẹni yẹn nilẹ miin.	Bẹ́ẹ̀ ni, ìjọba ta ilẹ́ fẹ́nìkan, wọ́n tún gba ilẹ̀ yẹn lọ́wọ́ ẹ̀, a sì dá sí i, wọ́n fẹ́ẹ́ dá owó rẹ̀ padà, ṣùgbọ́n a ti sọ fún wọn pé bí ayé míì n bá ti yọ kí wọ́n fún ẹni yẹn nílẹ̀ míìn.
Ẹnikan naa; awọn VIO mu u, wọn si faini rẹ, o waa ba wa, a da sọrọ yẹn, a si yanju ẹ, tori obinrin yẹn ko jẹbi, awọn ileeṣẹ inṣọransi to sanwo fun lo jẹbi.	Ẹnìkan náà; àwọn VIO mú u, wọ́n sì fáìnì rẹ̀, ó wáá bá wa, a dá sọ́rọ̀ yẹn, a sí yanjú ẹ̀, torí obìnrin yẹn kò jẹ̀bi, àwọn iléeṣẹ́ ìnṣọ́ráǹsì tó sanwó fún ló jẹ̀bi.
Wọn da owo pada fun obinrin yẹn o.	Wọ́n dá owó padà fún obìnrin yẹn o.
Pẹlu awọn onimọto nkọ?	Pẹ̀lú àwọn onímọ́tò ńkọ́…?
A ti pe wọn sipade naa, wọn ko wa, ṣugbọn wọn ti kọ lẹta siwa pe awọn maa wa.	A ti pè wọ́n sípàdé náà, wọn kò wá, ṣùgbọ́n wọ́n ti kọ lẹ́tà síwa pé àwọn máa wá.
A ṣepade pẹlu ileeṣẹ to n fi bọọsi ko ero lati Ikorodu lọ si Eko naa.	A ṣèpàdé pẹ̀lú iléeṣẹ́ tó ń fi bọ́ọ̀sì kó èrò láti Ìkòròdú lọ sí Èkó náà.
Awọn eeyan wa fẹjọ wọn sun wa lori bi wọn ṣe fowo kun owo mọto.	Àwọn èèyàn wá fẹjọ́ wọn sùn wá lórí bí wọ́n ṣe fowó kún owó mọ́tò.
A pe wọn, wọn si ṣalaye fun wa idi tawọn fi ṣe bẹẹ.	A pè wọ́n, wọ́n sì ṣàlàyé fún wa ìdí táwọn fi ṣe bẹ́ẹ̀.
Ki lawọn afojusun yin?	Kí làwọn àfojúsùn yín?
A ṣi n tẹ siwaju, aṣeyọri wa pọ, a ti lọfiisi ni Ikorodu bayii, aniyan wa ni pe ka ni ọfiisi to pọ kaakiri awọn kansu, kawọn eeyan le tete ri wa.	A ṣì ń tẹ̀ síwájú, àṣeyọrí wa pọ̀, a ti lọ́fììsì ní Ìkòròdú báyìí, àníyàn wa ni pé ká ní ọ́fììsì tó pọ̀ káàkiri àwọn káńsù, káwọn èèyàn le tètè rí wa.
Ka le tubọ maa ṣepolongo lọ sọdọ awọn araalu nipa ẹtọ wọn.	Ká le túbọ̀ máa ṣèpolongo lọ sọ́dọ̀ àwọn aráàlú nípa ẹ̀tọ́ wọn.
Lara aṣeyọri wa naa ni pe owo taa ti gba fun awọn eeyan ti le ni miliọnu mẹrinlelọgbọn.	Lára àṣeyọrí wa náà ni pé owó táa ti gbà fún àwọn èèyàn ti lé ní mílíọ́nù mẹ́rìnlélọ́gbọ̀n.
Ojoojumọ lawọn eeyan n fẹjọ sun wa, ti wọn n gbe ọrọ waa ba wa.	Ojoojúmọ́ láwọn èèyàn ń fẹjọ́ sùn wá, tí wọn ń gbé ọ̀rọ̀ wáá bá wa.
Sanwo-Olu ṣabẹwo ibanikẹdun sile Ighodalo * Ohun ti Ibidunni sọ ko too ku ree	Sanwó-Olú ṣàbẹ̀wò ìbánikẹ́dùn sílé Ighodalo * Ohun tí Ìbídùńní sọ kò tóó kú reè
Gomina ipinlẹ Eko, Babajide Sanwo-Olu ti ṣabẹwo si mọlẹbi gbajumọ oniṣowo to tun jẹ iranṣẹ Ọlọrun, Pasitọ Ituah Ighodalo to padanu iyawo rẹ, Ibidunni Ighodalo.	Gómìnà ìpínlẹ̀ Èkó, Babajídé Sanwó-Oĺu ti ṣàbẹ̀wò sí mọ̀lẹ́bí gbajúmọ̀ oníṣòwò tó tún jẹ́ ìránṣẹ́ Ọlọ́run, Pasitọ Ituah Ighodalo tó pàdánù ìyàwó rẹ̀, Ìbídùńní Ighodalo.
Ọsan Sannde ti iroyin ṣẹyọ pe arẹwa obinrin naa jade laye niluu Port Harcourt ni Sanwo-Olu bẹ awọn mọlẹbi naa wo nile wọn lEkoo.	Ọ̀sán Sánńdè tí ìròyìn ṣẹ́yọ pé arẹwà obìnrin náà jáde láyé nílùú Port Harcourt ni Sanwó-Olú bẹ àwọn mọ̀lẹ́bí náà wò nílé wọn l’Ékòó.
Ohun ti Aṣejere gbọ ni pe lẹyin ti gomina ba mọlẹbi naa kẹdun, ṣe lo tun gbadura fun wọn.	Ohun tí Àṣejèrè gbọ́ ni pé lẹ́yìn tí gómìnà bá mọ̀lẹ́bí náà kẹ́dùn, ṣe ló tún gbàdúrà fún wọn.
Bakan naa, ọkan ninu awọn oṣerebinrin ilẹ wa to tun maa n ya fọto, to sunmọ oloogbe daadaa ti sọ ọ sita ohun ti Ibidunni ba a sọ kẹyin.	Bá́kan náà, ọ̀kan nínú àwọn òṣèrébìnrin ilẹ̀ wa tó tún máa ń ya fọ́tò, tó súnmọ́ olóògbé dáadáa ti sọ ọ́ síta ohun tí Ìbídùńní bá a sọ kẹ́yìn.
Onkọrin naa tawọn eeyan maa ni TY Bello lo sọ ọ lori ẹrọ ayelujara rẹ pe Ibidunni si ba oun sọrọ loru alẹ Satide ko too di pe o ku lọjọ Sannde.	Òǹkọrin náà táwọn èèyàn máa ní TY Bello ló sọ ọ́ lórí ẹ̀rọ ayélujára rẹ̀ pé Ìbídùńní sì bá òun sọ̀rọ̀ lóru alẹ́ Sátidé kó tóó di pé ó kú lọ́jọ́ Sánńdè.
Bello ni, lara ohun ti Ibidunni ba oun sọ ni pe oun ko ṣetan ati ṣọjọọbi alarinrin kankan, ṣugbọn, ohun to ṣe pataki soun ni boun ṣe maa dun awọn ogoji mọlẹbi ninu lati sami ayẹyẹ ọjọọbi ogoji ọdun oun.	Bello ní, lára ohun tí Ìbídùńní bá òun sọ ni pé òun kò ṣetán àti ṣọjọ́ọ̀bí alárinrin kankan, ṣùgbọ́n, ohun tó ṣe pàtàkì sóun ni bóun ṣe máa dun àwọn ogójì mọ̀lẹ́bí nínú láti sàmì ayẹyẹ ọjọ́ọ̀bí ogójì ọdún òun.
Lara awọn oore ti Ibidunni maa n ṣe nigba aye rẹ ni lati ran awọn obinrin ti wọn ko tete bimọ nile ọkọ lọwọ, o si ni ileeṣẹ kan to maa n ṣe agbatẹru eto naa fun awọn obinrin to ku diẹ kaato fun.	Lára àwọn oore tí Ìbídùńní máa ń ṣe nígbà ayé rẹ̀ ni láti ran àwọn obìnrin tí wọn kò tètè bímọ nílé ọkọ lọ́wọ́, ó sì ní iléeṣẹ́ kan tó máa ń ṣe agbátẹrù ètò náà fún àwọn obìnrin tó kù díẹ̀ káàtó fún.
Tinubu pada de, Saraki ni ko sọrọ soke lori eto aabo ilẹ Yoruba	Tinúbú padà dé, Sàràkí ni kò sọ̀rọ̀ sókè lórí ètò ààbò ilẹ̀ Yorùbá
Iroyin to n tẹ wa lọwọ fihan pe Aṣiwaju Bola Tinubu ti pada dele siluu Eko lati ilu oyinbo to ti lọọ gba isinmi, ṣugbọn bi wọn ti n wọle de naa ni adari ileegbimọ aṣofin ana, Dokita Bukọla Saraki naa pe oun atawọn oloṣelu ẹgbẹ rẹ nija pe ki wọn sọrọ soke lori rogbodiyan ija fulani atawọn Yoruba to n ṣẹlẹ lọwọ niipinlẹ Ọyọ.	Ìròyìn tó ń tẹ̀ wá lọ́wọ́ fihàn pé Aṣíwájú Bólá Tinúbú ti padà délé sílùú Èkó láti ìlú òyìnbó tó ti lọọ gba ìsinmi, ṣùgbọ́n bí wọ́n ti ń wọlé dé náà ni adarí iléègbìmọ̀ aṣòfin àná, D́okítà Bùkọ́lá Sàràkí náà pe òun àtàwọn olóṣèlú ẹgbẹ́ rẹ̀ níjà pé kí wọn sọ̀rọ̀ sókè lórí rògbòdìyàn ìjà fúlàní àtàwọn Yorùbá tó ń ṣẹlẹ̀ lọ́wọ́ níìpínlẹ̀ Ọ̀yọ́.
Irọlẹ oni ni iroyin ṣẹyọ pe Tinubu de sile Naijiria lati ilu oyinbo nibi to ti lọ fun isinmi.	Ìrọ̀lẹ́ òní ni ìròyìn ṣẹ́yọ pé Tinúbú dé sílè Nàíjíríà láti ìlú òyìnbó níbi tó ti lọ fún ìsinmi.
Bẹẹ o ba gbagbe, laipẹ yii ni Tinubu gba ilu oyinbo lọ fun isinmi, lasiko naa niroyin jade pe baba naa ti ko arun Korona, ko too di pe agbẹnusọ rẹ, Tunde Rahman sọ fawọn oniroyin pe ko sootọ ninu ọrọ naa, baba kan lọ fun isinmi ọlọdọọdun to maa n ṣe ni.	Bẹ́ẹ̀ ò bá gbàgbé, láìpẹ́ yìí ni Tinúbú gba ìlú òyìnbó lọ fún ìsinmi, lásìkò náà nìròyìn jáde pé bàbá náà ti kó àrùn Kòrónà, kó tóó di pé agbẹnusọ rẹ̀, Túndé Rahman sọ fáwọn oníròyìn pé kò sòótọ́ nínú ọ̀rọ̀ náà, bàbá kàn lọ fún ìsinmi ọlọ́dọọdún tó máa ń ṣe ni.
Latigba naa si ni Tinubu ti wa niluu oyinbo, ṣugbọn lonii lo pada de si papakọ ofurufu ilẹ wa, bẹẹ lo si ti wa ninu ile bayii to ti n gba awọn alejo loriṣiiriṣii, paapaa awọn agbaagba ninu eto oṣelu.	Látìgbà náà sì ni Tinúbú ti wà nílùú òyìnbó, ṣùgbọ́n lónìí ló padà dé sí pápákọ̀ òfurufú ilẹ̀ wa, bẹ́ẹ̀ ló sì ti wà nínú ilé báyìí tó ti ń gba àwọn àlejò lóríṣìíríṣìí, pàápàá àwọn àgbààgbà nínú ètò òṣèlú.
Ṣugbọn bi Tinubu ti n balẹ si Naijiria ni Bukọla Saraki naa fi atẹjade kan sita, nibi to ti sọrọ nipa rogbodiyan Fulani ati awọn Yoruba to n ṣẹlẹ ni Oke Ogun, paapaa ninu Igangan, nibi ti Sunday Igboho ti ni kawọn fulani kẹru wọn kuro niluu naa.	Ṣùgbọ́n bí Tinúbú ti ń balẹ̀ sí Náìjíríà ní Bùkọ́lá Sàràkí náà fi àtẹ̀jáde kan síta, níbi tó ti sọ̀rọ̀ nípa rògbòdìyàn Fúlàní àti àwọn Yorùbá tó ń ṣẹlẹ̀ ní Òkè Ògùn, pàápàá nínú Ìgàngàn, níbi tí Sunday Ìgbòho ti ní káwọn fúlàní kẹ́ru wọn kúro nílùú náà.
Bo tiẹ jẹ pe Saraki ko darukọ Tinubu, gomina ipinlẹ Kwara tẹlẹ naa tọka si awọn eeyan ni wọn n foju sọna ati dupo aarẹ lọdun 2023.	Bó tiẹ̀ jẹ́ pé Sàràkí kò dárúkọ Tinúbú, gómìnà ìpínlẹ̀ Kwara tẹ́lẹ̀ náà tọ́ka sí àwọn èèyàn ni wọ́n ń fojú sọ́nà àti dupò ààrẹ lọ́dún 2023.
O ni, asiko yii ki i ṣe asiko tawọn oloṣelu, paapaa awọn to n foju sọna fun ọdun 2023 lati dupo aarẹ gbọdọ dakẹ, o ni, ko yẹ ko di ọdun 2023 ki wọn too bẹrẹ si i sọrọ, nitori asiko yii gan an lawọn ọmọ Naijiria n reti wọn lati sọ ohun kan nipa iṣẹlẹ naa, ki alaafia ba a le jọba.	Ó ní, àsìkò yìí kì í ṣe àsìkò táwọn olóṣèlú, pàápàá àwọn tó ń fojú sọ́nà fún ọdún 2023 láti dupò ààrẹ gbọdọ̀ dákẹ́, ó ní, kò yẹ kó di ọdún 2023 kí wọ́n tóó bẹ̀rẹ̀ sí í sọ̀rọ̀, nítorí àsìkò yìí gan an làwọn ọmọ Nàíjíríà ń retí wọn láti sọ ohun kan nípa ìṣẹ̀lẹ̀ náà, kí àlááfíà ba à lè jọba.
Bẹẹ lo si tun rọ Aarẹ Muhammadu Buhari lati pepade gbogbo awọn alẹnulọrọ nidii iṣẹ oṣelu ati iṣẹẹjọba, paapaa awọn aarẹ ana, awọn adari ileegbimọ aṣofin ana, atawọn ọga ologun to ti ṣe kọja, pe ko ba wọn jirooro lori bi alaafia yoo ṣe pada silẹ wa nibi.	Bẹ́ẹ̀ ló sì tún rọ Ààrẹ Muhammadu Buhari láti pèpàdé gbogbo àwọn alẹ́nulọ́rọ̀ nídìí iṣẹ́ òṣèlú àti iṣẹ́ẹ̀jọba, pàápàá àwọn ààrẹ àná, àwọn adarí iléègbìmọ̀ aṣòfin àná, àtàwọn ọ̀gá ológun tó ti ṣe kọjá, pé kó bá wọn jíròòrò lórí bí àlááfíà yóò ṣe padà sílẹ̀ wa níbí.
O ṣee ṣe kijọba fofin de awọn to n ta gaasi idana lEkoo	Ó ṣeé ṣe kíjọba fòfin de àwọn tó ń ta gáásì ìdáná l’Ékòó
Bo tiẹ jẹ pe ijọba ipinlẹ Eko ko ti i sọ pato ohun kan nipa rẹ, ohun ti Aṣejere n gbọ lọwọ yii ni pe o ṣee ṣe ki ijọba fofin de tita afẹfẹ gaasi idana lawọn adugbo niipinlẹ Eko.	Bó tiẹ̀ jẹ́ pé ìjọba ìpínlẹ̀ Èkó kò tí ì sọ pàtó ohun kàn nípa rẹ̀, ohun tí Àṣejèrè ń gbọ́ lọ́wọ́ yìí ni pé ó ṣeé ṣe kí ìjọba fòfin de títa afẹ́fẹ́ gáàsì ìdáná láwọn àdùgbò níìpínlẹ̀ Èkó.
Eyi jẹyọ nitori ijamba gaasi idana to paayan marun un to si tun ṣe ọpọlọpọ eeyan leṣe ni agbegbe Baruwa ni Ipaja, lEkoo laaarọ oni.	Èyí jẹyọ nítorí ìjàm̀bá gáàsì ìdáná tó páàyàn márùn ún tó sì tún ṣe ọ̀pọ̀lọpọ̀ èèyàn léṣe ní àgbègbè Bàrúwá ní Ìpájà, l’Ékòó láàárọ̀ òní.
Gomina Babajide Sanwo-Olu nigba to n fi ọrọ ibanikẹdun rẹ ranṣẹ lati ọwọ akọwe iroyin rẹ, Gboyega Akọṣilẹ, o sọ pe ijọba ti ṣetan lati gbe igbesẹ to nipọn lori awọn to n ṣowo gaasi idana kiru ijamba bẹẹ maa ba a ṣẹlẹ lọjọ iwaju.	Gómìnà Babájídé Sanwó-Olú nígbà tó ń fi ọ̀rọ̀ ìbánikẹ́dùn rẹ̀ ránṣẹ́ láti ọwọ́ akọ̀wé ìròyìn rẹ̀, Gbóyèga Àkọṣílẹ, ó sọ pé ìjọba ti ṣetán láti gbé ìgbésẹ̀ tó nípọn lórí àwọn tó ń ṣòwò gáàsì ìdáná kírú ìjàmbá bẹ́ẹ̀ máa ba à ṣẹlẹ̀ lọ́jọ́ iwájú.
Nigba to n sọrọ ibanikẹdun naa, gomina ni oun ba awọn to padanu ẹmi wọn, atawọn to padanu dukia kẹdun iṣẹlẹ naa, o ni iṣẹlẹ buruku tijọba oun ko le gbagbe laelae ni.	Nígbà tó ń sọ̀rọ̀ ìbánikẹ́dùn náà, gómìnà ní òun bá àwọn tó pàdánù ẹ̀mí wọn, àtàwọn tó pàdánù dúkìá kẹ́dùn ìṣẹ̀lẹ̀ náà, ó ní ìṣẹ̀lẹ̀ burúkú tìjọba òun kò le gbàgbé láéláé ni.
Amọ ṣa, gbogbo igbiyanju wa lati ba awọn alaṣẹ sọrọ lori ọrọ naa lo ja si pabo, atẹjiṣẹ taa fi ranṣẹ si kọmiṣanna fun eto iroyin niipinlẹ Eko, Gbenga Ọmọtọṣọ, ni ọkunrin naa ko ti i fesi si titi di akoko ti a n kọ iroyin yii, ṣugbọn awọn to sunmọ ijọba sọ pe ko daju pe gomina maa faaye gba awọn to n ṣiṣẹ tita afẹfẹ gaasi idana lawọn adugbo lati maa ṣe owo wọn lọ mọ, nitori ijamba ti kinni ọhun n mu wa.	Àmọ́ ṣá, gbogbo ìgbìyànjú wa láti ba àwọn aláṣẹ sọ̀rọ̀ lórí ọ̀rọ̀ náà ló já sí pàbó, àtẹ̀jíṣẹ́ táa fi ránṣẹ́ sí kọmíṣánnà fún ètò ìròyìn níìpínlẹ̀ Èkó, Gbénga Ọmọ́tọ́ṣọ̀, ní ọkùnrin náà kò tí ì fèsì sí títí di àkókò tí a ń kọ ìròyìn yìí, ṣùgbọ́n àwọn tó súnmọ́ ìjọba sọ pé kò dájú pé gómìnà máa fààyè gba àwọn tó ń ṣiṣẹ́ títa afẹ́fẹ́ gáàsì ìdáná láwọn àdúgbò láti máa ṣe òwò wọn lọ mọ́, nítorí ìjàmbá tí kinní ọ̀hún ń mú wá.
Ninu ọrọ tiẹ ṣa, Fẹmi Oke Ọsanyintolu, to jẹ alakooso iṣẹlẹ pajawiri lEkoo sọ pe awọn marun un lo padanu ẹmi wọn ninu ijamba naa, o ni eeyan mẹjọ lo wa ni ọsibitu ti wọn n gba itọju ni Gbagada, ile mẹẹẹdọgbọn lo ba iṣẹlẹ naa lọ, ṣọọbu mẹrindinlogun lo jona rau rau, ileewe adani kan naa lọ si i, otẹẹli kan naa jona rau, bẹẹ ni mọto mẹta fara gba iṣẹlẹ naa.	Nínú ọ̀rọ̀ tiẹ̀ ṣá, Fẹ́mi Òkè Ọ̀sanyìntólú, tó jẹ́ alákòóso ìṣẹ̀lẹ̀ pàjáwìrì l’Ékòó sọ pé àwọn márùn ún ló pàdánù ẹ̀mí wọn nínú ìjàmbà náà, ó ní èèyàn mẹ́jọ ló wà ní ọsibítù tí wọ́n ń gba ìtọ́jú ní Gbàgádà, ilé mẹ́ẹ̀ẹ́dọ́gbọ̀n ló bá ìṣẹ̀lẹ̀ náà lọ, ṣọ́ọ̀bù mẹ́rìndínlógún ló jóná ráú ráú, iléewé àdáni kàn náà lọ sí i, òtẹ́ẹ̀lì kan náà jóná ráú, bẹ́ẹ̀ ni mọ́tò mẹ́ta fara gbá ìṣẹ̀lẹ̀ náà.
Baa o ba ṣọra, awọn Fulani a bẹrẹ si i ji awọn ọba wa gbe  Sunday Igboho	Báà ó bá ṣọ́ra, àwọn Fúlàní á bẹ̀rẹ̀ sí í jí àwọn ọba wa gbé – Sunday Ìgbòho
Ajijagbara ọmọ Yoruba tiroyin rẹ n kan lọwọ lori ọrọ awọn fulani ati ilu Igangan nilẹ Oke Ogun, nipinlẹ Ọyọ, Oloye Sunday Adeyẹmọ, tawọn eeyan n pe ni Sunday Igboho, ti paroko ranṣẹ sawọn ọlọpaa pe ẹru o bodo oun o, ki wọn ma halẹ mọ oun rara.	Ajìjàgbara ọmọ Yorùbá tíròyìn rẹ̀ ń kàn lọ́wọ́ lórí ọ̀rọ̀ àwọn fúlàní àti ìlú Ìgàngàn nílẹ̀ Òkè Ògùn, ńìpínlẹ̀ Ọ̀yọ́, Olóyè Sunday Adéyẹmọ, táwọn èèyàn ń pè ní Sunday Ìgbòho, ti pàrokò ránṣẹ́ sáwọn ọlọ́pàá pé ẹ̀rù ò bodò òun o, kí wọn má halẹ̀ mọ́ òun rárá.
Ọkunrin ogun naa tun sọ pe boun ko ba gbe igbesẹ toun gbe naa, ọjọ kan lawọn fulani yoo waa ji awọn ọba ilẹ Yoruba gbe, ti ko sẹni to maa ri nnkan ṣe si i.	Ọkùnrin ogun náà tún sọ pé bóun kò bá gbé ìgbésẹ̀ tóun gbé náà, ọjọ́ kan làwọn fúlàní yóò wáá jí àwọn ọba ilẹ̀ Yorùbá gbé, tí kò sẹ́ni tó máa rí nǹkan ṣe sí i.
